,0,1,2,3,4,5,6,7,8,9,10,11,Class
0,2,2,2,2,2,2,2,2,2,2,2,2,0
1,27,37,53,74,99,127,316,796,1255,1348,956,967,0
2,27,37,53,74,99,127,316,796,1255,1348,956,967,0
3,27,37,53,74,99,127,316,796,1255,1348,956,967,0
4,27,37,53,74,99,127,316,796,1255,1348,956,967,0
5,27,37,53,74,99,127,316,796,1255,1348,956,967,0
6,40,54,72,92,116,163,457,935,1313,1331,956,967,1
7,54,70,86,108,127,229,588,1028,1339,1323,954,967,1
8,34,46,66,84,110,141,397,871,1285,1342,957,967,1
9,27,37,53,74,99,127,316,796,1255,1348,956,967,0
10,54,70,86,108,127,228,587,1023,1334,1316,948,967,1
11,52,66,81,103,126,210,542,1010,1338,1330,956,967,1
12,27,35,53,74,99,126,313,790,1249,1343,955,967,1
13,27,37,53,74,99,127,316,796,1255,1348,956,967,0
14,27,37,53,74,99,127,316,796,1255,1348,956,967,0
15,27,37,53,74,99,127,316,796,1255,1348,956,967,0
16,27,37,53,74,99,127,316,796,1255,1348,956,967,0
17,27,37,53,74,99,127,316,796,1255,1348,956,967,0
18,53,70,86,109,127,229,580,1028,1344,1325,955,967,1
19,54,71,86,109,127,242,608,1042,1346,1328,956,967,1
20,16,21,31,44,68,97,151,499,993,1134,808,967,1
21,27,37,53,74,99,127,316,796,1255,1348,956,967,0
22,54,70,86,109,127,231,593,1035,1345,1327,956,967,1
23,16,21,31,44,68,97,151,498,993,1135,808,967,1
24,54,70,86,109,127,229,592,1035,1345,1327,956,967,1
25,27,37,53,74,99,127,316,796,1255,1348,956,967,0
26,27,37,53,74,99,127,316,796,1255,1348,956,967,0
27,27,37,53,74,99,127,316,796,1255,1348,956,967,0
28,27,37,53,74,99,127,316,796,1255,1348,956,967,0
29,27,37,53,74,99,127,316,796,1255,1348,956,967,0
30,54,70,86,108,127,228,587,1028,1341,1324,955,967,1
31,39,54,71,91,116,162,452,925,1311,1329,955,967,1
32,53,69,85,107,126,225,570,1020,1337,1326,955,967,1
33,27,37,53,74,99,127,316,796,1255,1348,956,967,0
34,34,47,66,85,110,141,401,874,1289,1338,956,967,1
35,45,61,78,102,122,190,510,984,1324,1329,955,967,1
36,18,32,37,62,85,117,227,684,1208,1331,952,967,1
37,27,37,53,74,99,127,316,796,1255,1348,956,967,0
38,27,37,53,74,99,127,316,796,1255,1348,956,967,0
39,27,37,53,74,99,127,316,796,1255,1348,956,967,0
40,27,37,53,74,99,127,316,796,1255,1348,956,967,0
41,27,37,53,74,99,127,316,796,1255,1348,956,967,0
42,54,71,86,109,127,242,608,1043,1346,1328,956,967,1
43,39,54,71,91,116,162,453,927,1311,1332,956,967,1
44,18,32,39,62,85,118,229,690,1217,1341,956,967,1
45,27,37,53,74,99,127,316,796,1255,1348,956,967,0
46,35,47,66,85,110,142,402,876,1291,1340,956,967,1
47,35,47,66,85,110,142,401,875,1290,1341,956,967,1
48,52,66,81,104,126,209,543,1011,1339,1332,956,967,1
49,27,37,53,74,99,127,316,796,1255,1348,956,967,0
50,27,37,53,74,99,127,316,796,1255,1348,956,967,0
51,27,37,53,74,99,127,316,796,1255,1348,956,967,0
52,27,37,53,74,99,127,316,796,1255,1348,956,967,0
53,27,37,53,74,99,127,316,796,1255,1348,956,967,0
54,52,70,85,108,126,241,604,1038,1343,1325,953,967,1
55,15,22,31,50,75,107,174,606,1156,1320,953,967,1
56,42,59,76,100,119,188,510,986,1327,1328,953,967,1
57,27,37,53,74,99,127,316,796,1255,1348,956,967,0
58,51,68,83,106,124,238,599,1032,1340,1322,952,967,1
59,15,22,31,50,75,107,174,606,1156,1320,953,967,1
60,42,60,75,99,118,189,511,984,1325,1322,952,967,1
61,27,37,53,74,99,127,316,796,1255,1348,956,967,0
62,27,37,53,74,99,127,316,796,1255,1348,956,967,0
63,27,37,53,74,99,127,316,796,1255,1348,956,967,0
64,27,37,53,74,99,127,316,796,1255,1348,956,967,0
65,27,37,53,74,99,127,316,796,1255,1348,956,967,0
66,54,70,86,109,127,229,592,1034,1345,1328,956,967,1
67,16,20,33,46,73,106,164,557,1136,1313,955,967,1
68,54,70,86,109,127,229,592,1035,1344,1327,955,967,1
69,27,37,53,74,99,127,316,796,1255,1348,956,967,0
70,39,54,71,91,116,162,453,928,1313,1332,956,967,1
71,46,62,78,102,122,191,512,988,1329,1331,955,967,1
72,35,47,66,85,110,142,402,875,1291,1341,956,967,1
73,27,37,53,74,99,127,316,796,1255,1348,956,967,0
74,27,37,53,74,99,127,316,796,1255,1348,956,967,0
75,27,37,53,74,99,127,316,796,1255,1348,956,967,0
76,27,37,53,74,99,127,316,796,1255,1348,956,967,0
77,27,37,53,74,99,127,316,796,1255,1348,956,967,0
78,46,63,78,102,122,191,512,988,1329,1331,955,967,1
79,35,47,66,85,110,142,402,876,1291,1341,956,967,1
80,39,54,71,91,116,162,453,928,1313,1332,956,967,1
81,27,37,53,74,99,127,316,796,1255,1348,956,967,0
82,16,23,33,52,76,109,175,607,1161,1322,956,967,1
83,35,47,66,85,110,142,402,876,1291,1341,955,967,1
84,33,46,66,84,110,141,395,868,1282,1336,949,967,1
85,27,37,53,74,99,127,316,796,1255,1348,956,967,0
86,27,37,53,74,99,127,316,796,1255,1348,956,967,0
87,27,37,53,74,99,127,316,796,1255,1348,956,967,0
88,27,37,53,74,99,127,316,796,1255,1348,956,967,0
89,27,37,53,74,99,127,316,796,1255,1348,956,967,0
90,26,37,52,73,98,126,300,783,1249,1350,956,967,1
91,53,70,86,109,127,229,581,1028,1345,1329,955,967,1
92,53,70,86,109,127,229,581,1028,1345,1328,955,967,1
93,27,37,53,74,99,127,316,796,1255,1348,956,967,0
94,54,71,86,109,127,242,608,1042,1345,1327,956,967,1
95,16,21,33,48,74,107,165,568,1139,1312,954,967,1
96,16,17,31,43,69,101,156,512,1113,1292,953,967,1
97,27,37,53,74,99,127,316,796,1255,1348,956,967,0
98,27,37,53,74,99,127,316,796,1255,1348,956,967,0
99,27,37,53,74,99,127,316,796,1255,1348,956,967,0
100,27,37,53,74,99,127,316,796,1255,1348,956,967,0
101,27,37,53,74,99,127,316,796,1255,1348,956,967,0
102,18,32,39,61,85,118,229,690,1219,1342,956,967,1
103,52,66,81,104,126,210,540,1004,1332,1323,946,967,1
104,32,46,66,84,110,141,393,863,1273,1325,941,967,1
105,27,37,53,74,99,127,316,796,1255,1348,956,967,0
106,27,37,53,74,99,127,316,796,1255,1348,955,967,1
107,16,17,29,43,68,101,151,507,1111,1295,956,967,1
108,46,63,78,102,122,191,511,987,1329,1331,956,967,1
109,27,37,53,74,99,127,316,796,1255,1348,956,967,0
110,27,37,53,74,99,127,316,796,1255,1348,956,967,0
111,27,37,53,74,99,127,316,796,1255,1348,956,967,0
112,27,37,53,74,99,127,316,796,1255,1348,956,967,0
113,27,37,53,74,99,127,316,796,1255,1348,956,967,0
114,52,66,81,104,126,210,543,1011,1340,1332,956,967,1
115,34,47,66,85,110,142,402,876,1291,1341,956,967,1
116,54,71,86,110,127,242,606,1042,1345,1327,956,967,1
117,27,37,53,74,99,127,316,796,1255,1348,956,967,0
118,53,70,86,109,127,229,581,1029,1346,1329,956,967,1
119,35,47,66,85,110,142,402,876,1290,1340,956,967,1
120,40,54,72,92,116,163,458,936,1313,1332,956,967,1
121,27,37,53,74,99,127,316,796,1255,1348,956,967,0
122,27,37,53,74,99,127,316,796,1255,1348,956,967,0
123,27,37,53,74,99,127,316,796,1255,1348,956,967,0
124,27,37,53,74,99,127,316,796,1255,1348,956,967,0
125,27,37,53,74,99,127,316,796,1255,1348,956,967,0
126,52,66,81,104,126,210,543,1011,1340,1332,956,967,1
127,52,66,81,104,126,210,543,1011,1337,1329,955,967,1
128,39,54,71,91,116,162,453,927,1311,1330,955,967,1
129,27,37,53,74,99,127,316,796,1255,1348,956,967,0
130,40,54,72,92,116,163,457,933,1310,1328,956,967,1
131,47,64,78,102,122,194,516,989,1329,1324,956,967,1
132,47,64,78,102,122,194,516,990,1331,1327,956,967,1
133,27,37,53,74,99,127,316,796,1255,1348,956,967,0
134,27,37,53,74,99,127,316,796,1255,1348,956,967,0
135,27,37,53,74,99,127,316,796,1255,1348,956,967,0
136,27,37,53,74,99,127,316,796,1255,1348,956,967,0
137,27,37,53,74,99,127,316,796,1255,1348,956,967,0
138,54,71,86,110,127,242,606,1042,1346,1328,956,967,1
139,39,54,71,91,116,162,453,929,1313,1332,956,967,1
140,54,71,86,109,127,242,607,1043,1346,1328,956,967,1
141,27,37,53,74,99,127,316,796,1255,1348,956,967,0
142,52,66,81,104,126,210,542,1011,1340,1332,956,967,1
143,39,54,72,92,116,163,458,935,1317,1330,956,967,1
144,17,26,37,57,81,113,204,659,1195,1334,956,967,1
145,27,37,53,74,99,127,316,796,1255,1348,956,967,0
146,27,37,53,74,99,127,316,796,1255,1348,956,967,0
147,27,37,53,74,99,127,316,796,1255,1348,956,967,0
148,27,37,53,74,99,127,316,796,1255,1348,956,967,0
149,27,37,53,74,99,127,316,796,1255,1348,956,967,0
150,16,20,33,46,73,106,164,556,1135,1312,954,967,1
151,39,54,71,90,116,162,452,926,1312,1330,954,967,1
152,53,70,85,108,127,227,573,1023,1342,1327,954,967,1
153,27,37,53,74,99,127,316,796,1255,1348,956,967,0
154,47,64,78,102,122,194,519,992,1333,1327,956,967,1
155,39,54,71,89,116,162,452,924,1308,1327,953,967,1
156,46,63,78,102,122,191,512,989,1330,1331,955,967,1
157,27,37,53,74,99,127,316,796,1255,1348,956,967,0
158,27,37,53,74,99,127,316,796,1255,1348,956,967,0
159,27,37,53,74,99,127,316,796,1255,1348,956,967,0
160,27,37,53,74,99,127,316,796,1255,1348,956,967,0
161,27,37,53,74,99,127,316,796,1255,1348,956,967,0
162,54,71,86,110,127,242,606,1042,1346,1328,956,967,1
163,54,70,86,109,127,229,592,1035,1345,1328,957,967,1
164,39,54,71,91,116,162,453,928,1313,1332,957,967,1
165,27,37,53,74,99,127,316,796,1255,1348,956,967,0
166,52,66,81,104,126,210,542,1011,1340,1332,956,967,1
167,17,26,36,56,80,113,202,655,1186,1321,941,967,1
168,45,65,78,102,122,192,511,982,1316,1312,939,967,1
169,27,37,53,74,99,127,316,796,1255,1348,956,967,0
170,27,37,53,74,99,127,316,796,1255,1348,956,967,0
171,27,37,53,74,99,127,316,796,1255,1348,956,967,0
172,27,37,53,74,99,127,316,796,1255,1348,956,967,0
173,27,37,53,74,99,127,316,796,1255,1348,956,967,0
174,53,70,85,108,127,227,574,1026,1343,1330,957,967,1
175,16,17,29,43,68,101,151,505,1109,1294,956,967,1
176,47,64,78,102,122,194,518,991,1333,1325,956,967,1
177,27,37,53,74,99,127,316,796,1255,1348,956,967,0
178,54,71,86,110,127,242,606,1042,1346,1328,956,967,1
179,34,46,66,84,110,141,398,870,1286,1342,956,967,1
180,52,66,81,104,126,210,542,1010,1340,1332,956,967,1
181,27,37,53,74,99,127,316,796,1255,1348,956,967,0
182,27,37,53,74,99,127,316,796,1255,1348,956,967,0
183,27,37,53,74,99,127,316,796,1255,1348,956,967,0
184,27,37,53,74,99,127,316,796,1255,1348,956,967,0
185,27,37,53,74,99,127,316,796,1255,1348,956,967,0
186,53,70,86,109,127,229,581,1029,1346,1329,955,967,1
187,53,69,85,108,127,227,572,1026,1343,1329,955,967,1
188,54,71,86,109,127,242,608,1043,1347,1328,955,967,1
189,27,37,53,74,99,127,316,796,1255,1348,956,967,0
190,16,20,33,46,73,106,164,557,1137,1313,956,967,1
191,34,46,65,84,110,140,398,870,1283,1339,955,967,1
192,16,20,33,46,73,106,164,557,1136,1312,956,967,1
193,27,37,53,74,99,127,316,796,1255,1348,956,967,0
194,27,37,53,74,99,127,316,796,1255,1348,956,967,0
195,27,37,53,74,99,127,316,796,1255,1348,956,967,0
196,27,37,53,74,99,127,316,796,1255,1348,956,967,0
197,27,37,53,74,99,127,316,796,1255,1348,956,967,0
198,54,71,86,110,127,241,603,1037,1341,1324,955,967,1
199,17,26,37,56,81,111,196,629,1122,1247,886,967,1
200,18,32,39,61,85,118,229,690,1218,1341,955,967,1
201,27,37,53,74,99,127,316,796,1255,1348,956,967,0
202,39,54,71,89,114,159,435,890,1259,1280,919,967,1
203,47,64,78,102,122,194,518,992,1333,1327,956,967,1
204,35,47,66,85,108,141,385,840,1236,1289,919,967,1
205,27,37,53,74,99,127,316,796,1255,1348,956,967,0
206,27,37,53,74,99,127,316,796,1255,1348,956,967,0
207,27,37,53,74,99,127,316,796,1255,1348,956,967,0
208,27,37,53,74,99,127,316,796,1255,1348,956,967,0
209,27,37,53,74,99,127,316,796,1255,1348,956,967,0
210,40,54,72,92,116,163,458,935,1314,1332,956,967,1
211,27,37,53,74,99,127,315,796,1255,1348,955,967,1
212,16,17,29,42,68,101,148,501,1111,1296,954,967,1
213,27,37,53,74,99,127,316,796,1255,1348,956,967,0
214,17,26,37,57,81,113,205,661,1196,1335,956,967,1
215,53,70,85,108,127,227,574,1026,1343,1329,955,967,1
216,34,46,66,84,110,141,398,872,1286,1342,955,967,1
217,27,37,53,74,99,127,316,796,1255,1348,956,967,0
218,27,37,53,74,99,127,316,796,1255,1348,956,967,0
219,27,37,53,74,99,127,316,796,1255,1348,956,967,0
220,27,37,53,74,99,127,316,796,1255,1348,956,967,0
221,27,37,53,74,99,127,316,796,1255,1348,956,967,0
222,54,70,86,109,127,229,592,1035,1345,1328,956,967,1
223,43,60,76,98,120,176,488,965,1324,1338,956,967,1
224,52,66,81,104,126,210,542,1010,1339,1332,956,967,1
225,27,37,53,74,99,127,316,796,1255,1348,956,967,0
226,39,54,71,91,116,162,453,928,1312,1331,956,967,1
227,54,70,86,109,127,229,592,1035,1345,1328,956,967,1
228,54,71,86,109,127,242,607,1043,1347,1328,956,967,1
229,27,37,53,74,99,127,316,796,1255,1348,956,967,0
230,27,37,53,74,99,127,316,796,1255,1348,956,967,0
231,27,37,53,74,99,127,316,796,1255,1348,956,967,0
232,27,37,53,74,99,127,316,796,1255,1348,956,967,0
233,27,37,53,74,99,127,316,796,1255,1348,956,967,0
234,53,70,86,109,127,229,581,1029,1346,1329,956,967,1
235,17,26,37,57,80,113,204,661,1195,1334,956,967,1
236,35,47,66,85,110,142,402,875,1291,1341,956,967,1
237,27,37,53,74,99,127,316,796,1255,1348,956,967,0
238,54,71,86,110,127,242,606,1042,1346,1328,956,967,1
239,54,71,86,110,127,242,606,1040,1345,1327,956,967,1
240,16,17,28,43,68,101,151,508,1111,1294,956,967,1
241,27,37,53,74,99,127,316,796,1255,1348,956,967,0
242,27,37,53,74,99,127,316,796,1255,1348,956,967,0
243,27,37,53,74,99,127,316,796,1255,1348,956,967,0
244,27,37,53,74,99,127,316,796,1255,1348,956,967,0
245,27,37,53,74,99,127,316,796,1255,1348,956,967,0
246,54,71,86,109,127,242,607,1041,1346,1326,955,967,1
247,16,21,33,48,74,107,165,569,1142,1316,955,967,1
248,39,54,71,91,116,162,453,927,1314,1332,956,967,1
249,27,37,53,74,99,127,316,796,1255,1348,956,967,0
250,27,37,53,74,99,127,316,796,1256,1348,956,967,1
251,34,46,66,84,110,141,398,871,1286,1341,955,967,1
252,16,20,33,46,73,106,164,557,1135,1313,955,967,1
253,27,37,53,74,99,127,316,796,1255,1348,956,967,0
254,27,37,53,74,99,127,316,796,1255,1348,956,967,0
255,27,37,53,74,99,127,316,796,1255,1348,956,967,0
256,27,37,53,74,99,127,316,796,1255,1348,956,967,0
257,27,37,53,74,99,127,316,796,1255,1348,956,967,0
258,16,21,33,48,74,107,165,569,1143,1316,956,967,1
259,41,57,70,90,113,182,500,973,1317,1317,945,967,1
260,52,66,80,104,126,210,543,1010,1340,1332,956,967,1
261,27,37,53,74,99,127,316,796,1255,1348,956,967,0
262,39,54,71,91,116,162,453,928,1313,1331,955,967,1
263,16,20,30,40,66,94,154,542,1112,1288,940,967,1
264,39,54,71,91,116,162,453,927,1313,1331,955,967,1
265,27,37,53,74,99,127,316,796,1255,1348,956,967,0
266,27,37,53,74,99,127,316,796,1255,1348,956,967,0
267,27,37,53,74,99,127,316,796,1255,1348,956,967,0
268,27,37,53,74,99,127,316,796,1255,1348,956,967,0
269,27,37,53,74,99,127,316,796,1255,1348,956,967,0
270,54,70,86,109,127,231,594,1035,1344,1327,956,967,1
271,16,17,29,43,68,101,151,508,1113,1294,955,967,1
272,18,32,39,62,85,118,229,690,1217,1339,954,967,1
273,27,37,53,74,99,127,316,796,1255,1348,956,967,0
274,54,71,86,110,127,242,606,1042,1346,1328,956,967,1
275,54,71,86,109,127,242,607,1043,1346,1328,956,967,1
276,16,23,33,52,76,109,175,607,1160,1319,954,967,1
277,27,37,53,74,99,127,316,796,1255,1348,956,967,0
278,27,37,53,74,99,127,316,796,1255,1348,956,967,0
279,27,37,53,74,99,127,316,796,1255,1348,956,967,0
280,27,37,53,74,99,127,316,796,1255,1348,956,967,0
281,27,37,53,74,99,127,316,796,1255,1348,956,967,0
282,34,47,59,78,99,139,400,845,1200,1224,882,967,1
283,13,18,28,38,56,81,143,498,937,1066,762,967,1
284,37,45,58,76,88,160,424,795,1061,1069,756,967,1
285,27,37,53,74,99,127,316,796,1255,1348,956,967,0
286,46,58,74,95,112,203,514,904,1190,1188,836,967,1
287,16,20,33,46,72,104,161,552,1126,1298,950,967,1
288,43,59,76,97,119,175,483,956,1314,1330,951,967,1
289,27,37,53,74,99,127,316,796,1255,1348,956,967,0
290,27,37,53,74,99,127,316,796,1255,1348,956,967,0
291,27,37,53,74,99,127,316,796,1255,1348,956,967,0
292,27,37,53,74,99,127,316,796,1255,1348,956,967,0
293,27,37,53,74,99,127,316,796,1255,1348,956,967,0
294,35,47,66,85,110,142,401,876,1290,1342,956,967,1
295,27,37,53,74,99,127,315,795,1253,1345,956,967,1
296,54,71,86,110,127,242,606,1041,1345,1329,956,967,1
297,27,37,53,74,99,127,316,796,1255,1348,956,967,0
298,35,47,66,85,110,142,402,876,1291,1343,956,967,1
299,54,71,86,110,127,242,606,1041,1346,1329,956,967,1
